2017-08-11,907.969971,917.780029,905.580017,914.390015,1206800
2017-08-14,922.530029,924.66803,918.190002,922.669983,1064500
2017-08-15,924.22998,926.549988,919.820007,922.219971,883400
2017-08-16,925.289978,932.700012,923.445007,926.960022,1006700
2017-08-17,925.780029,926.859985,910.97998,910.97998,1277200
2017-08-18,910.309998,915.275024,907.153992,910.669983,1342700
2017-08-21,910,913,903.400024,906.659973,943400
2017-08-22,912.719971,925.859985,911.474976,924.690002,1166700
2017-08-23,921.929993,929.929993,919.359985,927,1090200
2017-08-24,928.659973,930.840027,915.5,921.280029,1270300
2017-08-25,923.48999,925.554993,915.5,915.890015,1053400
2017-08-28,916,919.244995,911.869995,913.809998,1086500
2017-08-29,905.099976,923.330017,905,921.289978,1185600
2017-08-30,920.049988,930.81897,919.650024,929.570007,1301200
2017-08-31,931.76001,941.97998,931.76001,939.330017,1582600
2017-09-01,941.130005,942.47998,935.150024,937.340027,947400
2017-09-05,933.080017,937,921.960022,928.450012,1326400
2017-09-06,930.150024,930.914978,919.27002,927.809998,1527700
2017-09-07,931.72998,936.409973,923.619995,935.950012,1212700
2017-09-08,936.48999,936.98999,924.880005,926.5,1011500
2017-09-11,934.25,938.380005,926.919983,929.080017,1267000
2017-09-12,932.590027,933.47998,923.861023,932.070007,1134400
2017-09-13,930.659973,937.25,929.859985,935.090027,1102600
2017-09-14,931.25,932.77002,924,925.109985,1397600
2017-09-15,924.659973,926.48999,916.359985,920.289978,2505400
2017-09-18,920.01001,922.080017,910.599976,915,1306900
2017-09-19,917.419983,922.419983,912.549988,921.809998,936700
2017-09-20,922.97998,933.880005,922,931.580017,1669800
2017-09-21,933,936.530029,923.830017,932.450012,1290600
2017-09-22,927.75,934.72998,926.47998,928.530029,1052700
2017-09-25,925.450012,926.400024,909.700012,920.969971,1856800
2017-09-26,923.719971,930.820007,921.140015,924.859985,1666900
2017-09-27,927.73999,949.900024,927.73999,944.48999,2239400
